id	name_eng	titolo_eng	name_ita	desc_ita
336	Three Hz or three per second spike-and-slow-wave complex	Characteristic ictal paroxysmal pattern consisting of a regular sequence of spike-and-slow-wave complexes which: (1) repeat at around 3–3.5 c/s (measured during the first few seconds of the paroxysm), (2) are bilaterally synchronous in their onset and termination (i.e. “generalized”), and usually of maximal amplitude over the frontal areas, and (3) remain approximately synchronous and symmetrical on the two sides of the head throughout the paroxysmal burst. Amplitude varies but can reach values of 1000 µV (1 mV). Characteristic seizure pattern associated with Childhood Absence Epilepsy.	Complessi di punta-onda-lenta a 3 Hz	Quadro parossistico ictale caratteristico che consiste in una sequenza regolare di complessi di punta-onda-lenta che: (1) si ripetono a circa 3-3,5 Hz (misurati durante i primi secondi del parossismo); (2) sono bilateralmente sincroni nella loro insorgenza e fine (cioè “generalizzati”), e solitamente di ampiezza massima sulle aree frontali, e (3) rimangono approssimativamente sincroni e simmetrici sui due lati dello scalpo per tutto il burst. L'ampiezza varia ma può raggiungere valori di 1000 µV (1 mV). Pattern critico caratteristico associato all'epilessia con assenza dell'infanzia.
337	Time constant (TC)	Historically the product of the values of the resistance (in mega-ohms, MΩ) and the capacitance (in microfarads, μF) which make up the time constant control of an EEG channel. This product represents the time required for the trace to fall to 37% of the deflection initially produced when a DC voltage difference is applied to the input terminals of the amplifier. Expressed in seconds (s). Comment: for a simple Resistance-Capacitance coupling network, the TC is related to the percent reduction in sensitivity of the channel at a given stated low frequency by the equation TC =1/2πf, where f is the frequency at which a 30% (3 dB) attenuation occurs. For instance, for a TC of 0.3 s, an attenuation of 30% (3 dB) occurs at 0.5 Hz. Thus, either the time constant or the percent attenuation at a given stated low frequency can be used to designate the same position of the low frequency filter of the EEG channel (see low frequency filter). In the digital era this process is internally governed by the software of the system.	Costante di tempo (TC, time constant)	Storicamente il prodotto dei valori della resistenza (in mega-ohm, MΩ) e della capacità (in microfarad, μF) che determinano la costante di tempo di un canale EEG. Questo prodotto rappresenta il tempo necessario affinché la traccia scenda al 37% della deflessione prodotta inizialmente quando una differenza di tensione continua viene applicata all'amplificatore. Espresso in secondi (s). Commento: per una semplice rete di accoppiamento resistenza-capacità, la TC è correlata alla riduzione percentuale della sensibilità del canale ad una data bassa frequenza dichiarata dall'equazione TC =1/2πf, dove f è la frequenza alla quale si verifica un'attenuazione del 30% (3 dB). Per esempio, per un TC di 0,3 s, un'attenuazione del 30% (3 dB) si verifica a 0,5 Hz. Così, la costante di tempo o l'attenuazione percentuale a una determinata bassa frequenza può essere utilizzata per designare il valore del filtro a bassa frequenza del canale EEG (vedi filtro a bassa frequenza, filtro passa alto). Nei sistemi digitali questo processo è regolato internamente dal software del sistema.
338	Topography	Spatial distribution of EEG features (rhythm, voltage fields, spectra, evoked potential etc.) over the scalp or cerebral cortex. (See map voltage).	Topografia	Distribuzione spaziale del segnale EEG (ritmo, mappa di voltaggio, spettri, potenziale evocato ecc.) sullo scalpo o sulla corteccia cerebrale. (Vedi mappa di voltaggio).
339	Tracé alternant	Neonatal EEG pattern of quiet (non-REM) sleep seen in term and near term infants from 34 to 36 weeks post menstrual age onwards, which may persist up to 4 weeks after birth. It is characterized by high amplitude bursts of predominantly slow waves (50–150 µV) alternating with periods of relatively low amplitude activity mixed activities (25–50 µV). (See quiet sleep).	Tracciato alternante	Pattern EEG neonatale di sonno tranquillo (NREM) osservato nei neonati a termine e quasi a termine dalla 34 alla 36 settimana gestazionale in poi, che può persistere fino a 4 settimane dopo la nascita. È caratterizzato da burst con predominanza di onde lente di ampio voltaggio (50-150 µV) alternate a periodi di attività con frequenze miste di ampiezza relativamente bassa (25-50 µV). Sinonimo: tracé alternant. (Vedi sonno quieto).
340	Tracé continu	Continuous background activity, consisting of theta and/or delta frequencies (>25 µV), replacing a previously markedly intermittent record during evolution of EEG in preterm infants. Present in active sleep (see active sleep).	Tracciato continuo	Attività di fondo continua, costituita da attività con frequenze theta e/o delta (>25 µV), che durante la maturazione dell'EEG nei neonati pretermine sostituisce il precedente “tracciato discontinuo”. Presente anche nel sonno attivo. Sinonimo: tracé continu. (Vedi sonno attivo, sonno quieto e tracciato discontinuo)
341	Tracé discontinu	Normal discontinuous pattern in preterm infants which is characterized by bursts of high amplitude (up to 300 µV) mixed frequency activity regularly interrupted by low amplitude interburst activity (<25 µV). The pattern can still be called discontinuous if there is a modest amount of EEG activity in a single channel or a single transient in multiple channels. The interburst interval depends on the post menstrual age (PMA). It is seen in wakefulness, active and quiet sleep until 30 weeks PMA, then only in quiet sleep, and is rarely seen in infants of 38 weeks PMA. (See active and quiet sleep).	Tracciato discontinuo	Pattern fisiologico nei neonati pretermine, caratterizzato da burst di attività con frequenze miste (N.d.T.: lente e rapide), di alto voltaggio (fino a 300 µV) interrotte regolarmente da periodi di attività di bassa ampiezza (<25 µV), detti “inter-burst”. Il pattern può ancora essere chiamato discontinuo anche in presenza di una modesta quantità di attività in un singolo canale o un singolo transiente in più canali. La durata dei periodi inter-burst dipende dall'età gestazionale (EG). Si vede in veglia, in sonno attivo e sonno quieto fino a 30 settimane di EG, poi solo in sonno quieto (N.d.T.: in questo caso caratterizzando il “sonno quieto alternante”), ed è raramente visto in neonati a 38 settimane di EG. Sinonimi: tracé discontinu. (Vedi sonno attivo e sonno quieto).
342	Tracing	Synonyms: record, recording.	Tracciato	Sinonimi: registrazione.
343	Transient, EEG	Any isolated wave or complex, distinguished from background activity.	Transiente EEG	Qualsiasi onda o complesso isolato, distinto dall'attività di fondo.
344	Transverse bipolar montage	A montage consisting of contiguous channels of electrode pairs along transverse/coronal (i.e. side-to-side) arrays (for example F7-F3, F3-Fz, Fz-F4, F4-F8, etc.). Synonym: coronal bipolar montage.	Montaggio bipolare trasversale	Un montaggio costituito da canali contigui di coppie di elettrodi lungo le linee trasversali/coronali (cioè da un lato all'altro dello scalpo) (per esempio F7-F3, F3-Fz, Fz-F4, F4-F8, ecc.). Sinonimo: montaggio bipolare coronale.
345	Triangular bipolar montage	A historic montage consisting of derivations from pairs of electrodes in a group of 3 electrodes arranged in a triangular pattern. Use of this montage is discouraged, because false lateralization may occur.	Montaggio bipolare triangolare	Un montaggio storico che consiste in derivazioni da coppie di elettrodi in un gruppo di 3 elettrodi disposti a triangolo. L'uso di questo montaggio è sconsigliato, perché può favorire una falsa lateralizzazione.
346	Triphasic wave (TW)	High amplitude (over 70 µV) positive sharp transients (with respect to common average), which are preceded and followed by relatively low amplitude negative waves. The first negative wave generally has lower amplitude than the negative afterwave, and has a steeper slope, which on occasions may be sharp. Usually bilateral with an antero-posterior or a postero-anterior lag, and repetition rate of about 1−<2 c/s. TWs occur typically in runs, and can either regress or increase with arousal or noxious stimuli. Often there is little ongoing or low amplitude (<40 µV) slow background activity between TWs. They are seen in a range of conditions, often present concurrently, associated with metabolic encephalopathy. The patient is usually comatose, and TW may decrease with sleep and after intravenous benzodiazepines. Synonym: continuous 2/s GPDs (with triphasic morphology).	Onda trifasica (TW, triphasic wave)	Grafoelementi positivi di ampiezza elevata (oltre 70 µV, in riferimento alla media comune), che sono preceduti e seguiti da onde negative di ampiezza relativamente bassa. La prima onda negativa ha generalmente un'ampiezza inferiore rispetto all'onda negativa successiva, e ha una pendenza più ripida, che in alcune occasioni può essere aguzza-puntuta. Solitamente bilaterale con un ritardo antero-posteriore o postero-anteriore, e frequenza di ripetizione di circa 1-2 Hz. le onde TW si presentano tipicamente in serie, e possono regredire o aumentare con l'arousal o con stimoli nocicettivi. Spesso c'è scarsa attività di fondo lenta o di bassa ampiezza (<40 µV) tra i complessi TW. Sono osservati in una serie di condizioni, spesso presenti contemporaneamente, associati a encefalopatia metabolica. Il paziente è solitamente in stato comatoso e i complessi TW possono diminuire durante il sonno e dopo somministrazione di benzodiazepine per via endovenosa. Sinonimo: GPD continui 2/s (con morfologia trifasica).
